train_per_domain,setting,metric,n,mean,std,ci95_low,ci95_high,median,min,max,scope,heldout_domain
320,,recall_B,3,0.1058566666666666,0.0436024418276469,-0.002457803401791,0.2141711367351243,0.11033,0.06019,0.14705,lodo_domain,Norway
320,,mAP50_B,3,0.07215,0.0369287909360704,-0.0195862022136363,0.1638862022136364,0.08835,0.02989,0.09821,lodo_domain,Norway
320,,mAP50_95_B,3,0.02785,0.0133973542164115,-0.0054308728466651,0.0611308728466651,0.03386,0.0125,0.03719,lodo_domain,Norway
320,,precision_B,3,0.31943,0.0567177141640951,0.1785353873206955,0.4603246126793046,0.30529,0.27112,0.38188,lodo_domain,United_States
320,,recall_B,3,0.3387566666666666,0.0589698307046351,0.1922674863577498,0.4852458469755835,0.34929,0.27523,0.39175,lodo_domain,United_States
320,,mAP50_B,3,0.3111533333333333,0.0379090771891552,0.2169819650700985,0.4053247015965681,0.3329,0.26738,0.33318,lodo_domain,United_States
320,,mAP50_95_B,3,0.14397,0.017581228626009,0.1002958069512265,0.1876441930487735,0.13911,0.12933,0.16347,lodo_domain,United_States
640,,precision_B,3,0.4498933333333332,0.1400059114228157,0.1020993688999403,0.7976872977667262,0.44931,0.31018,0.59019,lodo_domain,China_Drone
640,,recall_B,3,0.34338,0.0979729595347614,0.10000167648791,0.58675832351209,0.29226,0.28154,0.45634,lodo_domain,China_Drone
640,,mAP50_B,3,0.3037166666666667,0.1309858027930253,-0.0216701057553793,0.6291034390887127,0.25053,0.20769,0.45293,lodo_domain,China_Drone
640,,mAP50_95_B,3,0.15583,0.083358490269438,-0.051243969272884,0.362903969272884,0.10958,0.10585,0.25206,lodo_domain,China_Drone
640,,precision_B,3,0.3941533333333333,0.1100079389559378,0.12087846358096,0.6674282030857067,0.34043,0.32133,0.5207,lodo_domain,China_MotorBike
640,,recall_B,3,0.2921333333333333,0.0197791135628807,0.2429992914267887,0.3412673752398778,0.3016,0.2694,0.3054,lodo_domain,China_MotorBike
640,,mAP50_B,3,0.24505,0.0370650468770781,0.1529753192648563,0.3371246807351436,0.22942,0.21836,0.28737,lodo_domain,China_MotorBike
640,,mAP50_95_B,3,0.0860733333333333,0.0230124625656041,0.0289072072338732,0.1432394594327934,0.08795,0.06218,0.10809,lodo_domain,China_MotorBike
640,,precision_B,3,0.3443333333333334,0.0406427611430785,0.243371117668151,0.4452955489985157,0.35847,0.29851,0.37602,lodo_domain,Czech_Republic
640,,recall_B,3,0.2707033333333333,0.0595130047412608,0.1228648339159911,0.4185418327506756,0.30425,0.20199,0.30587,lodo_domain,Czech_Republic
640,,mAP50_B,3,0.21322,0.0236537269790618,0.1544608847878661,0.2719791152121338,0.20408,0.1955,0.24008,lodo_domain,Czech_Republic
640,,mAP50_95_B,3,0.0790933333333333,0.0129921219719233,0.0468191131872185,0.1113675534794481,0.07959,0.06586,0.09183,lodo_domain,Czech_Republic
640,,precision_B,3,0.3187233333333333,0.0907000310547539,0.0934119657332929,0.5440347009333737,0.26722,0.2655,0.42345,lodo_domain,India
640,,recall_B,3,0.1128966666666666,0.0147587612397969,0.0762338712921679,0.1495594620411653,0.1188,0.0961,0.12379,lodo_domain,India
640,,mAP50_B,3,0.09106,0.0189992026148467,0.0438633642912736,0.1382566357087263,0.09789,0.06959,0.1057,lodo_domain,India
640,,mAP50_95_B,3,0.03797,0.008557645704281,0.0167116295821972,0.0592283704178027,0.03921,0.02886,0.04584,lodo_domain,India
640,,precision_B,3,0.5122166666666667,0.1529979478075877,0.1321486946974292,0.892284638635904,0.52617,0.35272,0.65776,lodo_domain,Japan
640,,recall_B,3,0.2529233333333333,0.0170708943331429,0.2105168809470678,0.2953297857195988,0.25478,0.235,0.26899,lodo_domain,Japan
640,,mAP50_B,3,0.2610333333333333,0.0224786795282403,0.2051931978068812,0.3168734688597853,0.25826,0.24007,0.28477,lodo_domain,Japan
640,,mAP50_95_B,3,0.11314,0.002896946668477,0.1059435855319068,0.1203364144680932,0.11453,0.10981,0.11508,lodo_domain,Japan
640,,precision_B,3,0.3010566666666667,0.1495134944857263,-0.0703554434009012,0.6724687767342346,0.35612,0.13182,0.41523,lodo_domain,Norway
640,,recall_B,3,0.1109966666666666,0.0095819326512626,0.0871938264162133,0.13479950691712,0.11617,0.09994,0.11688,lodo_domain,Norway
640,,mAP50_B,3,0.0867266666666666,0.0353619008727377,-0.0011171648504781,0.1745704981838115,0.09805,0.04709,0.11504,lodo_domain,Norway
640,,mAP50_95_B,3,0.0316666666666666,0.0130535142139323,-0.0007600602630315,0.0640933935963649,0.03468,0.01737,0.04295,lodo_domain,Norway
640,,precision_B,3,0.4085133333333333,0.0445478723771779,0.2978502835829448,0.5191763830837219,0.43132,0.35718,0.43704,lodo_domain,United_States
640,,recall_B,3,0.3655699999999999,0.0899883898066856,0.1420264472615232,0.5891135527384768,0.4123,0.26183,0.42258,lodo_domain,United_States
640,,mAP50_B,3,0.36221,0.0671196312564364,0.19547559279711,0.5289444072028899,0.39194,0.28536,0.40933,lodo_domain,United_States
640,,mAP50_95_B,3,0.1680666666666666,0.036045885109584,0.0785237241125292,0.2576096092208041,0.1724,0.13005,0.20175,lodo_domain,United_States
